GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JSON-java,com.test.JSON_java,JSONException,6,9,0,0,2,4,1,2,1,2
JSON-java,com.test.JSON_java,JSONPointer,323,0,32,0,74,0,25,0,9,0
JSON-java,com.test.JSON_java,JSONPointerException,9,0,0,0,4,0,2,0,2,0
JSON-java,com.test.JSON_java,HTTPTokener,59,0,14,0,17,0,9,0,2,0
JSON-java,com.test.JSON_java,JSONPointer.Builder,36,0,2,0,9,0,5,0,4,0
JSON-java,com.test.JSON_java,JSONWriter,428,38,67,11,106,9,53,1,14,1
JSON-java,com.test.JSON_java,XML,998,0,206,0,251,0,123,0,18,0
JSON-java,com.test.JSON_java,CookieList,90,0,8,0,23,0,7,0,3,0
JSON-java,com.test.JSON_java,Cookie,284,0,38,0,58,0,24,0,5,0
JSON-java,com.test.JSON_java,Driver,72,0,0,0,17,0,2,0,2,0
JSON-java,com.test.JSON_java,CDL,334,0,84,0,87,0,54,0,11,0
JSON-java,com.test.JSON_java,JSONObject,1953,817,376,144,503,192,293,71,69,31
JSON-java,com.test.JSON_java,JSONML,748,0,134,0,190,0,79,0,12,0
JSON-java,com.test.JSON_java,XMLParserConfiguration,52,0,0,0,18,0,6,0,6,0
JSON-java,com.test.JSON_java,XMLTokener,459,0,97,0,137,0,67,0,10,0
JSON-java,com.test.JSON_java,Property,66,0,12,0,17,0,9,0,3,0
JSON-java,com.test.JSON_java,XML.new Iterable() {...},11,0,0,0,2,0,2,0,2,0
JSON-java,com.test.JSON_java,JSONStringer,16,0,2,0,3,0,3,0,2,0
JSON-java,com.test.JSON_java,JSONTokener,349,273,67,40,91,85,53,26,8,13
JSON-java,com.test.JSON_java,HTTP,240,0,26,0,48,0,16,0,3,0
JSON-java,com.test.JSON_java,XML.1.new Iterator() {...},45,0,2,0,8,0,5,0,4,0
JSON-java,com.test.JSON_java,JSONArray,769,409,100,58,200,106,114,40,55,19
JSON-java,com.test.JSON_java,JSONObject.Null,6,9,0,4,3,1,3,3,3,1
